County,Population,Area (sq km),Population density (person/km^2),Median income,Biden won,Trump won,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Johnson County,175817.0,1888.1027100000001,93.1183452408688,64359.0,0,1,0.024,0.079,0.055999999999999994,0.19899999999999998,0.642,0.0,1.8298261665141813,1.8298261665141813,increase
Jones County,20083.0,2411.28069,8.32876905757496,50344.0,0,1,0.064,0.079,0.121,0.193,0.5429999999999999,0.0,0.0,0.0,no change
Karnes County,15601.0,1942.4925,8.0314338407999,56127.0,0,1,0.0,0.001,0.10400000000000001,0.145,0.75,0.0,1.6,1.6,increase
Kaufman County,136154.0,2035.7321399999998,66.8820800756233,70107.0,0,1,0.063,0.057999999999999996,0.040999999999999995,0.155,0.682,0.49504950495049505,1.261564339781329,0.7665148348308339,increase
Kendall County,47431.0,1714.57338,27.66344126957109,84747.0,0,1,0.002,0.059000000000000004,0.076,0.158,0.705,0.0,2.564102564102564,2.564102564102564,increase
Kenedy County,404.0,3773.61543,0.10705913400401801,38021.0,0,1,0.04,0.01,0.08,0.098,0.772,0.0,16.666666666666664,16.666666666666664,increase
Kent County,762.0,2336.17098,0.32617475626719755,44688.0,0,1,0.069,0.168,0.172,0.16699999999999998,0.424,0.0,0.0,0.0,no change
Kerr County,52600.0,2864.5289399999997,18.362530489917134,55990.0,0,1,0.059000000000000004,0.149,0.16699999999999998,0.154,0.47200000000000003,1.4084507042253522,1.937984496124031,0.5295337918986787,increase
Kimble County,4337.0,3240.0774899999997,1.3385482333016672,43328.0,0,1,0.036000000000000004,0.126,0.165,0.207,0.466,0.0,0.0,0.0,no change
King County,272.0,2362.07088,0.11515319133861046,52083.0,0,1,0.065,0.10800000000000001,0.177,0.254,0.397,0.0,0.0,0.0,no change
Kinney County,3667.0,3532.74636,1.038002626375928,26738.0,0,1,0.004,0.059000000000000004,0.121,0.084,0.733,0.0,0.0,0.0,no change
Kleberg County,30680.0,2255.88129,13.600006408138613,43730.0,0,1,0.063,0.015,0.075,0.121,0.726,0.0,1.4545454545454546,1.4545454545454546,increase
Knox County,3664.0,2211.8514600000003,1.6565307690237026,48798.0,0,1,0.063,0.105,0.184,0.145,0.502,0.0,0.0,0.0,no change
La Salle County,7520.0,3856.4951100000003,1.949957094591,50151.0,0,1,0.152,0.002,0.083,0.09699999999999999,0.667,0.0,0.30120481927710846,0.30120481927710846,increase
Lamar County,49859.0,2375.02083,20.99307903754259,45117.0,0,1,0.054000000000000006,0.095,0.135,0.23800000000000002,0.478,1.3245033112582782,0.9259259259259258,-0.39857738533235243,decrease
Lamb County,12893.0,2631.42984,4.899617616253831,45111.0,0,1,0.038,0.065,0.046,0.255,0.597,0.0,4.320987654320987,4.320987654320987,increase
Lampasas County,21428.0,1844.0728800000002,11.619931203586702,60772.0,0,1,0.024,0.019,0.077,0.233,0.648,0.0,1.5873015873015872,1.5873015873015872,increase
Lavaca County,20154.0,2512.2903,8.022162088513417,54403.0,0,1,0.008,0.028999999999999998,0.114,0.114,0.736,0.0,2.8322440087145972,2.8322440087145972,increase
